epoch,coxLoss,stratLoss,trainCI,valCI,variance
0,0.5459,0.0000,0.4474,0.4756,1.0334372520446777
1,0.5349,0.0000,0.4496,0.4763,1.031083345413208
2,0.5306,0.0000,0.4540,0.4772,1.0316413640975952
3,0.5287,0.0000,0.4502,0.4780,1.0273414850234985
4,0.5187,0.0000,0.4509,0.4788,1.0238499641418457
5,0.5370,0.0000,0.4481,0.4801,1.0192424058914185
6,0.5373,0.0000,0.4479,0.4811,1.025356411933899
7,0.5343,0.0000,0.4491,0.4821,1.0237948894500732
8,0.5253,0.0000,0.4527,0.4831,1.0159913301467896
9,0.5420,0.0000,0.4426,0.4840,1.0223853588104248
10,0.5158,0.0000,0.4554,0.4853,1.0133113861083984
11,0.5175,0.0000,0.4544,0.4864,1.0139340162277222
12,0.5028,0.0000,0.4590,0.4874,1.0123045444488525
13,0.5116,0.0000,0.4548,0.4883,1.0221325159072876
14,0.5084,0.0000,0.4555,0.4895,1.0165022611618042
15,0.4958,0.0000,0.4572,0.4903,1.0067744255065918
16,0.4909,0.0000,0.4623,0.4907,1.010715126991272
17,0.4921,0.0000,0.4619,0.4914,1.0077563524246216
18,0.4959,0.0000,0.4587,0.4920,1.001078486442566
19,0.4949,0.0000,0.4620,0.4928,1.000777244567871
20,0.4669,0.0000,0.4689,0.4936,1.0011827945709229
21,0.4993,0.0000,0.4560,0.4944,0.9986699223518372
22,0.4796,0.0000,0.4637,0.4950,0.9951069951057434
23,0.4739,0.0000,0.4654,0.4954,0.9981658458709717
24,0.4760,0.0000,0.4665,0.4959,0.9968268275260925
25,0.4759,0.0000,0.4650,0.4964,0.9845478534698486
26,0.4658,0.0000,0.4751,0.4970,0.9950146079063416
27,0.4550,0.0000,0.4749,0.4974,0.9816807508468628
28,0.4657,0.0000,0.4663,0.4978,0.995262622833252
29,0.4692,0.0000,0.4764,0.4981,0.9788596034049988
30,0.4623,0.0000,0.4740,0.4986,0.9847850799560547
31,0.4648,0.0000,0.4741,0.4987,0.9776342511177063
32,0.4613,0.0000,0.4723,0.4992,0.9701330065727234
33,0.4438,0.0000,0.4788,0.4996,0.9735356569290161
34,0.4346,0.0000,0.4810,0.5000,0.9714261889457703
35,0.4420,0.0000,0.4778,0.5005,0.9687090516090393
36,0.4433,0.0000,0.4779,0.5008,0.9653043150901794
37,0.4425,0.0000,0.4739,0.5013,0.9687674641609192
38,0.4511,0.0000,0.4759,0.5018,0.958285391330719
39,0.4246,0.0000,0.4858,0.5022,0.969873309135437
40,0.4374,0.0000,0.4805,0.5026,0.9632721543312073
41,0.4313,0.0000,0.4810,0.5030,0.9640204310417175
42,0.4271,0.0000,0.4853,0.5033,0.956055760383606
43,0.4360,0.0000,0.4805,0.5036,0.957389235496521
44,0.4322,0.0000,0.4782,0.5040,0.9507697224617004
45,0.4294,0.0000,0.4854,0.5045,0.9477677345275879
46,0.4042,0.0000,0.4930,0.5051,0.9610055685043335
47,0.4206,0.0000,0.4859,0.5057,0.9451212882995605
48,0.4155,0.0000,0.4861,0.5060,0.9412420988082886
49,0.4104,0.0000,0.4929,0.5064,0.9438126087188721
50,0.4158,0.0000,0.4831,0.5068,0.9490367770195007
51,0.4045,0.0000,0.4946,0.5072,0.9399414658546448
52,0.4062,0.0000,0.4899,0.5077,0.9362531304359436
53,0.3962,0.0000,0.4934,0.5083,0.9436524510383606
54,0.4061,0.0000,0.4901,0.5086,0.943469226360321
55,0.3974,0.0000,0.4924,0.5089,0.9407426118850708
56,0.3976,0.0000,0.4935,0.5094,0.9318171739578247
57,0.3898,0.0000,0.4959,0.5098,0.9355055689811707
58,0.3782,0.0000,0.4986,0.5101,0.9269896149635315
59,0.3751,0.0000,0.4994,0.5105,0.9282565116882324
60,0.3881,0.0000,0.4950,0.5110,0.9285577535629272
61,0.3831,0.0000,0.4933,0.5113,0.9266977906227112
62,0.3701,0.0000,0.5009,0.5114,0.9231231212615967
63,0.3865,0.0000,0.4949,0.5118,0.9231656789779663
64,0.3726,0.0000,0.4991,0.5122,0.9238981008529663
65,0.3802,0.0000,0.4984,0.5128,0.9210854768753052
66,0.3670,0.0000,0.5037,0.5132,0.9082996249198914
67,0.3638,0.0000,0.5017,0.5137,0.9174497127532959
68,0.3702,0.0000,0.5009,0.5141,0.9204938411712646
69,0.3561,0.0000,0.5039,0.5144,0.9068652987480164
70,0.3597,0.0000,0.5049,0.5149,0.9095653891563416
71,0.3555,0.0000,0.5062,0.5153,0.9051612019538879
72,0.3580,0.0000,0.5028,0.5157,0.9087145328521729
73,0.3497,0.0000,0.5030,0.5161,0.9043274521827698
74,0.3576,0.0000,0.5029,0.5165,0.8931772112846375
75,0.3617,0.0000,0.5039,0.5170,0.9074128270149231
76,0.3456,0.0000,0.5113,0.5173,0.9012208580970764
77,0.3420,0.0000,0.5085,0.5176,0.9029273390769958
78,0.3449,0.0000,0.5054,0.5181,0.8976659774780273
79,0.3133,0.0000,0.5181,0.5186,0.8986578583717346
80,0.3487,0.0000,0.5077,0.5189,0.8928099274635315
81,0.3265,0.0000,0.5143,0.5193,0.8885520696640015
82,0.3318,0.0000,0.5139,0.5198,0.8890392780303955
83,0.3359,0.0000,0.5090,0.5203,0.8905012011528015
84,0.3097,0.0000,0.5195,0.5207,0.8832184076309204
85,0.3292,0.0000,0.5139,0.5213,0.8839511275291443
86,0.3227,0.0000,0.5144,0.5219,0.8743281364440918
87,0.3142,0.0000,0.5165,0.5225,0.884085476398468
88,0.3169,0.0000,0.5168,0.5228,0.8780221343040466
89,0.3317,0.0000,0.5104,0.5232,0.8756066560745239
90,0.3114,0.0000,0.5179,0.5236,0.8710172772407532
91,0.3091,0.0000,0.5206,0.5242,0.8715816140174866
92,0.3125,0.0000,0.5225,0.5247,0.8784973621368408
93,0.3114,0.0000,0.5208,0.5252,0.8741396069526672
94,0.3020,0.0000,0.5222,0.5257,0.8625015020370483
95,0.3040,0.0000,0.5206,0.5263,0.8734140396118164
96,0.3206,0.0000,0.5164,0.5269,0.8677095174789429
97,0.3064,0.0000,0.5237,0.5273,0.8636272549629211
98,0.3013,0.0000,0.5192,0.5278,0.8641793727874756
99,0.2929,0.0000,0.5267,0.5283,0.8647008538246155
100,0.2951,0.0000,0.5222,0.5287,0.8605479001998901
101,0.2917,0.0000,0.5271,0.5292,0.8600241541862488
102,0.2994,0.0000,0.5249,0.5297,0.8559859395027161
103,0.2933,0.0000,0.5239,0.5302,0.852488100528717
104,0.2832,0.0000,0.5270,0.5307,0.8533438444137573
105,0.2924,0.0000,0.5251,0.5312,0.8513339161872864
106,0.2809,0.0000,0.5269,0.5317,0.8528332114219666
107,0.2784,0.0000,0.5318,0.5324,0.8498837947845459
108,0.2726,0.0000,0.5299,0.5332,0.8430205583572388
109,0.2700,0.0000,0.5336,0.5337,0.8472851514816284
110,0.2615,0.0000,0.5402,0.5343,0.8414522409439087
111,0.2683,0.0000,0.5344,0.5348,0.8481449484825134
112,0.2571,0.0000,0.5382,0.5352,0.8429917097091675
113,0.2650,0.0000,0.5348,0.5357,0.836052656173706
114,0.2600,0.0000,0.5367,0.5362,0.8326109647750854
115,0.2467,0.0000,0.5424,0.5366,0.8310930728912354
116,0.2515,0.0000,0.5415,0.5375,0.8356313705444336
117,0.2429,0.0000,0.5418,0.5381,0.832859992980957
118,0.2271,0.0000,0.5488,0.5387,0.8321970701217651
119,0.2432,0.0000,0.5416,0.5393,0.8304705619812012
120,0.2463,0.0000,0.5416,0.5400,0.825383722782135
121,0.2365,0.0000,0.5460,0.5406,0.8283735513687134
122,0.2388,0.0000,0.5412,0.5410,0.8304126262664795
123,0.2257,0.0000,0.5492,0.5418,0.8216753602027893
124,0.2322,0.0000,0.5439,0.5422,0.8206368684768677
125,0.2115,0.0000,0.5548,0.5427,0.8192958235740662
126,0.2164,0.0000,0.5518,0.5433,0.8169220089912415
127,0.2288,0.0000,0.5477,0.5438,0.8139773011207581
128,0.1941,0.0000,0.5575,0.5445,0.8113851547241211
129,0.2085,0.0000,0.5529,0.5451,0.8181586861610413
130,0.2053,0.0000,0.5574,0.5457,0.8119995594024658
131,0.2066,0.0000,0.5566,0.5467,0.8146243691444397
132,0.1988,0.0000,0.5615,0.5476,0.8119074106216431
133,0.1668,0.0000,0.5712,0.5483,0.8136300444602966
134,0.1869,0.0000,0.5636,0.5489,0.8068300485610962
135,0.1860,0.0000,0.5630,0.5494,0.8007827401161194
136,0.1810,0.0000,0.5674,0.5504,0.7984462380409241
137,0.1879,0.0000,0.5676,0.5511,0.791369616985321
138,0.1922,0.0000,0.5616,0.5519,0.795692503452301
139,0.1822,0.0000,0.5652,0.5526,0.7945383787155151
140,0.1607,0.0000,0.5725,0.5535,0.7918583154678345
141,0.1612,0.0000,0.5719,0.5543,0.7880982756614685
142,0.1667,0.0000,0.5697,0.5552,0.7900590300559998
143,0.1568,0.0000,0.5759,0.5561,0.7898470163345337
144,0.1486,0.0000,0.5791,0.5568,0.7896565198898315
145,0.1508,0.0000,0.5775,0.5578,0.7900851964950562
146,0.1523,0.0000,0.5770,0.5587,0.7905634641647339
147,0.1433,0.0000,0.5773,0.5596,0.7810153365135193
148,0.1430,0.0000,0.5837,0.5606,0.7832146286964417
149,0.1308,0.0000,0.5849,0.5616,0.7862779498100281
150,0.1283,0.0000,0.5852,0.5624,0.7769502997398376
151,0.1196,0.0000,0.5891,0.5635,0.7730951905250549
152,0.1159,0.0000,0.5879,0.5647,0.7759696245193481
153,0.1189,0.0000,0.5887,0.5657,0.7737863063812256
154,0.1124,0.0000,0.5932,0.5668,0.7747417688369751
155,0.1049,0.0000,0.5929,0.5677,0.7722069621086121
156,0.0982,0.0000,0.5952,0.5687,0.769866406917572
157,0.1021,0.0000,0.5923,0.5697,0.7730593681335449
158,0.0947,0.0000,0.5995,0.5708,0.7673818469047546
159,0.0834,0.0000,0.6016,0.5720,0.7617495656013489
160,0.0863,0.0000,0.6017,0.5732,0.7644585967063904
161,0.0730,0.0000,0.6026,0.5743,0.7599080204963684
162,0.0679,0.0000,0.6062,0.5754,0.7673966288566589
163,0.0752,0.0000,0.6052,0.5762,0.7601938843727112
164,0.0564,0.0000,0.6099,0.5772,0.7641071081161499
165,0.0626,0.0000,0.6096,0.5783,0.7609845995903015
166,0.0446,0.0000,0.6157,0.5795,0.7568573355674744
167,0.0319,0.0000,0.6221,0.5806,0.7567728757858276
168,0.0298,0.0000,0.6198,0.5818,0.7468734383583069
169,0.0386,0.0000,0.6184,0.5828,0.7545334100723267
170,0.0341,0.0000,0.6179,0.5839,0.7508249282836914
171,0.0249,0.0000,0.6231,0.5849,0.7501216530799866
172,0.0231,0.0000,0.6245,0.5863,0.7443948984146118
173,0.0043,0.0000,0.6278,0.5875,0.7381191253662109
174,0.0167,0.0000,0.6236,0.5889,0.7466738224029541
175,0.0011,0.0000,0.6320,0.5900,0.7394881844520569
176,-0.0103,0.0000,0.6330,0.5914,0.7405431270599365
177,-0.0013,0.0000,0.6336,0.5924,0.743667483329773
178,-0.0052,0.0000,0.6341,0.5933,0.7384647727012634
179,-0.0126,0.0000,0.6360,0.5946,0.7350479960441589
180,-0.0354,0.0000,0.6421,0.5958,0.7404654026031494
181,-0.0248,0.0000,0.6412,0.5969,0.7330529093742371
182,-0.0441,0.0000,0.6475,0.5981,0.7300447225570679
183,-0.0446,0.0000,0.6470,0.5994,0.7274057865142822
184,-0.0496,0.0000,0.6505,0.6004,0.7340299487113953
185,-0.0490,0.0000,0.6476,0.6014,0.7297617197036743
186,-0.0511,0.0000,0.6498,0.6029,0.7310728430747986
187,-0.0451,0.0000,0.6495,0.6044,0.7288284301757812
188,-0.0733,0.0000,0.6561,0.6060,0.7234789133071899
189,-0.0481,0.0000,0.6510,0.6073,0.7254582047462463
190,-0.0700,0.0000,0.6561,0.6088,0.7149220705032349
191,-0.0572,0.0000,0.6543,0.6104,0.7233709692955017
192,-0.0828,0.0000,0.6617,0.6122,0.7175156474113464
193,-0.0993,0.0000,0.6667,0.6138,0.7182537317276001
194,-0.0944,0.0000,0.6648,0.6152,0.7144529819488525
195,-0.1009,0.0000,0.6652,0.6167,0.71159428358078
196,-0.1071,0.0000,0.6702,0.6177,0.7225428223609924
197,-0.0967,0.0000,0.6665,0.6193,0.7126778960227966
198,-0.1148,0.0000,0.6708,0.6209,0.7112857103347778
199,-0.1007,0.0000,0.6686,0.6226,0.7101430296897888
200,-0.1054,0.0000,0.6706,0.6240,0.7096633315086365
201,-0.1355,0.0000,0.6782,0.6254,0.7128866314888
202,-0.1192,0.0000,0.6707,0.6265,0.7049592137336731
203,-0.1219,0.0000,0.6760,0.6277,0.7052758932113647
204,-0.1331,0.0000,0.6764,0.6293,0.7098790407180786
205,-0.1508,0.0000,0.6836,0.6309,0.7071842551231384
206,-0.1332,0.0000,0.6784,0.6323,0.7076060771942139
207,-0.1332,0.0000,0.6771,0.6340,0.7031728625297546
208,-0.1384,0.0000,0.6798,0.6353,0.7059393525123596
209,-0.1516,0.0000,0.6848,0.6370,0.7000850439071655
210,-0.1633,0.0000,0.6873,0.6392,0.6972882747650146
211,-0.1545,0.0000,0.6886,0.6404,0.700630784034729
212,-0.1494,0.0000,0.6846,0.6421,0.7043275833129883
213,-0.1600,0.0000,0.6866,0.6434,0.7049551010131836
214,-0.1716,0.0000,0.6889,0.6450,0.6999531388282776
215,-0.1796,0.0000,0.6948,0.6462,0.6988701820373535
216,-0.1683,0.0000,0.6919,0.6480,0.6937476396560669
217,-0.1807,0.0000,0.6974,0.6498,0.6932514905929565
218,-0.1763,0.0000,0.6959,0.6516,0.6885588765144348
219,-0.1723,0.0000,0.6943,0.6530,0.698016881942749
220,-0.1709,0.0000,0.6940,0.6548,0.6956066489219666
221,-0.1908,0.0000,0.6971,0.6564,0.6951110363006592
222,-0.1936,0.0000,0.6983,0.6581,0.6954724788665771
223,-0.1767,0.0000,0.6966,0.6597,0.6865752935409546
224,-0.1943,0.0000,0.7033,0.6612,0.6871552467346191
225,-0.2007,0.0000,0.7023,0.6628,0.6914832592010498
226,-0.2063,0.0000,0.7086,0.6643,0.6896621584892273
227,-0.1963,0.0000,0.7060,0.6656,0.6836651563644409
228,-0.2016,0.0000,0.7039,0.6672,0.6874301433563232
229,-0.2060,0.0000,0.7060,0.6688,0.6846510171890259
230,-0.2034,0.0000,0.7025,0.6702,0.6950035691261292
231,-0.1941,0.0000,0.7013,0.6716,0.6939433813095093
232,-0.2160,0.0000,0.7089,0.6729,0.6887393593788147
233,-0.2195,0.0000,0.7097,0.6738,0.6933828592300415
234,-0.2164,0.0000,0.7082,0.6754,0.6844873428344727
235,-0.2333,0.0000,0.7144,0.6767,0.6914874315261841
236,-0.2137,0.0000,0.7082,0.6777,0.691438615322113
237,-0.2334,0.0000,0.7147,0.6792,0.6910924315452576
238,-0.2208,0.0000,0.7102,0.6805,0.6852652430534363
239,-0.2236,0.0000,0.7131,0.6817,0.6859838962554932
240,-0.2286,0.0000,0.7163,0.6832,0.6905426383018494
241,-0.2350,0.0000,0.7167,0.6848,0.6846292614936829
242,-0.2334,0.0000,0.7165,0.6864,0.6898653507232666
243,-0.2372,0.0000,0.7165,0.6880,0.68987637758255
244,-0.2343,0.0000,0.7165,0.6896,0.6849900484085083
245,-0.2384,0.0000,0.7190,0.6912,0.6910337209701538
246,-0.2418,0.0000,0.7172,0.6927,0.6823155879974365
247,-0.2513,0.0000,0.7212,0.6941,0.6888989210128784
248,-0.2292,0.0000,0.7162,0.6952,0.685373842716217
249,-0.2515,0.0000,0.7220,0.6965,0.6861721277236938
250,-0.2513,0.0000,0.7204,0.6979,0.684624195098877
251,-0.2505,0.0000,0.7238,0.6992,0.6893243789672852
